module	operator	source_csv	ms_double_bound	ms_float_bound
MathematicalMorphology	GrayscaleMorphologicalClosingImageFilter	fill_missing_1024_bound.csv	23.9678	22.0308
MathematicalMorphology	MorphologicalGradientImageFilter	fill_missing_1024_bound.csv	22.8811	25.1146
MathematicalMorphology	BlackTopHatImageFilter	fill_missing_1024_bound.csv	25.9948	24.0625
MathematicalMorphology	WhiteTopHatImageFilter	fill_missing_1024_bound.csv	25.2117	22.7081
Smoothing	MeanImageFilter	fill_missing_1024_bound.csv	36.4890	34.9531
Smoothing	MedianImageFilter	fill_missing_1024_bound.csv	38.0647	36.0729
Smoothing	BoxMeanImageFilter	fill_missing_1024_bound.csv	23.7915	22.1723
Smoothing	BoxSigmaImageFilter	fill_missing_1024_bound.csv	26.7723	25.9557
Smoothing	DiscreteGaussianImageFilter	fill_missing_1024_bound.csv	30.3731	29.4009
Smoothing	SmoothingRecursiveGaussianImageFilter	fill_missing_1024_bound.csv	13.8636	7.3054
ImageFeature	LaplacianRecursiveGaussianImageFilter	fill_missing_1024_bound.csv	19.4580	18.2075
ImageIntensity	RescaleIntensityImageFilter	fill_missing_1024_bound.csv	33.2382	24.0682
ImageIntensity	ShiftScaleImageFilter	fill_missing_1024_bound.csv	4.4117	1.7643
Thresholding	BinaryThresholdImageFilter	fill_missing_1024_bound.csv	2.6275	1.6641
Thresholding	OtsuThresholdImageFilter	fill_missing_1024_bound.csv	9.3752	8.4512
ImageCompare	AbsoluteValueDifferenceImageFilter	fill_missing_1024_bound.csv	3.2042	1.9479
ImageCompare	SquaredDifferenceImageFilter	fill_missing_1024_bound.csv	2.9886	1.7046
BinaryMathematicalMorphology	BinaryDilateImageFilter	fill_missing_1024_bound.csv	470.5893	471.8393
BinaryMathematicalMorphology	BinaryErodeImageFilter	fill_missing_1024_bound.csv	646.0336	638.1484
BinaryMathematicalMorphology	BinaryMorphologicalOpeningImageFilter	fill_missing_1024_bound.csv	1114.9991	1105.3446
BinaryMathematicalMorphology	BinaryMorphologicalClosingImageFilter	fill_missing_1024_bound.csv	1153.6995	1284.4092
DistanceMap	SignedMaurerDistanceMapImageFilter	fill_missing_1024_bound.csv	17.4022	17.0544
DistanceMap	DanielssonDistanceMapImageFilter	fill_missing_1024_bound.csv	1818.2675	2045.5712
DistanceMap	SignedDanielssonDistanceMapImageFilter	fill_missing_1024_bound.csv	3543.9895	3540.6698
LevelSets	ReinitializeLevelSetImageFilter	levelset_1024_bound.csv	522.6077	496.8629
LevelSets	GeodesicActiveContourLevelSetImageFilter	levelset_1024_bound.csv	89.0886	88.0869
LevelSets	ShapeDetectionLevelSetImageFilter	levelset_1024_bound.csv	27.4550	26.6964
LevelSets	ThresholdSegmentationLevelSetImageFilter	levelset_1024_bound.csv	34.7028	32.8214
LevelSets	CurvesLevelSetImageFilter	levelset_1024_bound.csv	89.3531	86.9876
LevelSets	LaplacianSegmentationLevelSetImageFilter	levelset_1024_bound.csv	29.1101	28.3164
LevelSets	CannySegmentationLevelSetImageFilter	levelset_1024_bound.csv	402.0483	403.2276
LevelSets	NarrowBandThresholdSegmentationLevelSetImageFilter	levelset_1024_bound.csv	101.9677	94.1738
LevelSets	NarrowBandCurvesLevelSetImageFilter	levelset_1024_bound.csv	154.9953	154.9081
LevelSets	CollidingFrontsImageFilter	levelset_1024_bound.csv	1572.0710	1501.1286
LevelSets	UnsharpMaskLevelSetImageFilter	levelset_1024_bound.csv	185.1438	185.5958
LevelSets	AnisotropicFourthOrderLevelSetImageFilter	levelset_1024_bound.csv	1734.0913	1705.6860
LevelSets	IsotropicFourthOrderLevelSetImageFilter	levelset_1024_bound.csv	1626.2149	1594.9345
LevelSets	BinaryMaskToNarrowBandPointSetFilter	levelset_1024_bound.csv	65.0272	67.4743
LevelSets	ExtensionVelocitiesImageFilter	levelset_1024_bound.csv	589.7724	564.7741
Common	MeanSquaresImageToImageMetric	metric_1024_bound.csv	46.6431	46.9245
Common	NormalizedCorrelationImageToImageMetric	metric_1024_bound.csv	68.2694	67.9313
Common	MeanReciprocalSquareDifferenceImageToImageMetric	metric_1024_bound.csv	85.7026	77.1001
Common	GradientDifferenceImageToImageMetric	metric_1024_bound.csv	106.3939	101.8540
Common	MattesMutualInformationImageToImageMetric	metric_1024_bound.csv	14.1810	14.1676
Common	MutualInformationImageToImageMetric	metric_1024_bound.csv	34500.7013	34507.2309
Common	MeanSquaresHistogramImageToImageMetric	metric_1024_bound.csv	191.0076	184.7380
Common	CorrelationCoefficientHistogramImageToImageMetric	metric_1024_bound.csv	188.0596	183.7910
Common	MutualInformationHistogramImageToImageMetric	metric_1024_bound.csv	196.8784	187.6865
Common	NormalizedMutualInformationHistogramImageToImageMetric	metric_1024_bound.csv	192.8726	186.6004
Common	KullbackLeiblerCompareHistogramImageToImageMetric	metric_1024_bound.csv	341.6862	333.7318
Common	KappaStatisticImageToImageMetric	metric_1024_bound.csv	64.3513	62.1636
Common	MatchCardinalityImageToImageMetric	metric_1024_bound.csv	1.4106	1.3573
Common	MeanSquaresPointSetToImageMetric	metric_1024_bound.csv	30.7094	31.6263
Common	MeanReciprocalSquareDifferencePointSetToImageMetric	metric_1024_bound.csv	30.9671	32.2853
Common	NormalizedCorrelationPointSetToImageMetric	metric_1024_bound.csv	32.2299	32.4193
Common	EuclideanDistancePointMetric	metric_1024_bound.csv	3427.9871	3404.8810
